date,情绪分,标签,有效因子数,f_指数多头,f_科技共振,f_量能,f_宽度,f_涨跌停,fwd1,fwd5,fwd20
2025-09-25,85.69,牛市共振,4,1.0,,0.6914,1.0,0.7361,-0.00945660568359008,0.005082543492281211,0.010271084878319403
2025-09-26,75.82,分化,4,1.0,,0.6064,1.0,0.4264,0.015385351809531267,0.009654797760735967,0.022714943688404876
2025-09-29,88.91,牛市共振,4,1.0,,0.7269,1.0,0.8293,0.00446763292402208,-0.017529756369883964,-0.00029302695415101
2025-09-30,86.97,牛市共振,4,1.0,,0.6664,1.0,0.8125,0.014822892311246116,-0.007413891910767245,-0.002895364669095457
2025-10-09,91.55,牛市共振,4,1.0,,0.8595,1.0,0.8026,-0.019672630662990076,-0.019335502290910078,-0.0034141334439754534
2025-10-10,85.28,牛市共振,4,1.0,,0.7355,1.0,0.6759,-0.004950491939920476,-0.022222934109761616,0.0134205168862358
2025-10-13,89.89,牛市共振,4,1.0,,0.677,1.0,0.9186,-0.011953495211176945,-0.012137279266762002,0.02200101720110359
2025-10-14,84.07,牛市共振,4,1.0,,0.7895,1.0,0.5732,0.014809990358365388,0.015158872828506142,0.024917271497624016
2025-10-15,87.5,牛市共振,4,1.0,,0.5728,1.0,0.9271,0.0026342035633508676,-0.0029780813309564502,0.008601286081141302
2025-10-16,70.53,分化,4,0.5,,0.5747,1.0,0.7467,-0.02255906985368905,-0.002614984192219172,0.018112680829628802
2025-10-17,58.2,震荡,4,0.5,,0.5885,1.0,0.2396,0.005313326102133198,0.032441602225139254,0.025232472969669795
2025-10-20,73.81,分化,4,0.5,,0.5329,1.0,0.9196,0.015347735117563044,0.03917802488248667,0.013184111541879595
2025-10-21,76.65,分化,4,0.5,,0.6017,1.0,0.9643,-0.003320730623673107,0.018251702548562676,-0.008611069123780957
2025-10-22,69.23,分化,4,0.5,,0.4668,1.0,0.8022,0.002999344593550113,0.03380847760622063,-0.0009314610338002627
2025-10-23,72.21,分化,4,0.5,,0.4837,1.0,0.9048,0.011796511885009409,0.022483402078007808,-0.008986822023979157
2025-10-24,85.16,牛市共振,4,1.0,,0.6465,1.0,0.76,0.011872743557892473,-0.004294627601295065,-0.04443037163969621
2025-10-27,86.88,牛市共振,4,1.0,,0.7118,1.0,0.7634,-0.005098707625962318,-0.013277258914967116,-0.05682140439395211
2025-10-28,84.08,牛市共振,4,1.0,,0.5677,1.0,0.7957,0.011906462377341054,-0.015616884410886489,-0.04296024295109968
2025-10-29,89.21,牛市共振,4,1.0,,0.6755,1.0,0.8929,-0.00798822571402924,-0.025396992289837828,-0.04848781902364063
2025-10-30,81.49,牛市共振,4,1.0,,0.7239,1.0,0.5357,-0.014701636612666436,-0.0035049069929347088,-0.0412976593400598
2025-10-31,84.46,牛市共振,4,1.0,,0.6628,1.0,0.7156,0.0027442603301301993,0.008215800674885587,-0.02456672397738624
2025-11-03,85.7,牛市共振,4,1.0,,0.5519,1.0,0.8761,-0.0074577253445586855,0.00894998816779835,-0.01652923748616819
2025-11-04,83.61,牛市共振,4,1.0,,0.5327,1.0,0.8118,0.0018529027329989844,0.007245871618826172,-0.013935590953209842
2025-11-05,73.09,分化,4,0.5,,0.5114,1.0,0.9121,0.01429490516735954,0.00403066006491537,-0.02079166988131409
2025-11-06,73.34,分化,4,0.5,,0.6217,1.0,0.8119,-0.0031126241188909054,0.0018474014761826751,-0.031285784268438754
2025-11-07,69.59,分化,4,0.5,,0.5366,1.0,0.7471,0.003474463421602847,-0.010826421438821954,-0.02014570249122294
2025-11-10,75.25,分化,4,0.5,,0.6474,1.0,0.8624,-0.009134129265100266,-0.020659670405689168,-0.015611375613047151
2025-11-11,71.48,分化,4,0.5,,0.4932,1.0,0.866,-0.001345094021268145,-0.018050239184311145,-0.011595094800475159
2025-11-12,84.91,牛市共振,4,1.0,,0.5487,1.0,0.8478,0.012089327039823683,-0.012401386605188636,-0.011640480432253075
2025-11-13,88.83,牛市共振,4,1.0,,0.5622,1.0,0.991,-0.01572370046595184,-0.029162770690668416,-0.03187721128494414
2025-11-14,78.83,分化,4,1.0,,0.4839,1.0,0.6692,-0.006500948826135278,-0.03771109074967871,-0.010196277994886871
2025-11-17,58.82,震荡,4,0.0,,0.5029,1.0,0.85,-0.006493988487517255,-0.03262352920067779,-0.010002691356829962
2025-11-18,51.45,震荡,4,0.0,,0.4838,1.0,0.5741,0.004399858079545238,-0.01702819986056625,-0.015463073274840644
2025-11-19,51.52,震荡,4,0.0,,0.4515,1.0,0.6091,-0.005087709976273946,-0.015401525648257475,-0.0018344951962736555
2025-11-20,51.56,震荡,4,0.0,,0.5043,1.0,0.5581,-0.024390352898410628,-0.01085348546006537,-0.002662834100443212
2025-11-21,41.05,震荡,4,0.0,,0.5668,1.0,0.0754,-0.0012483811999961514,0.016403331088262085,0.025725324341551836
2025-11-24,54.43,震荡,4,0.0,,0.4733,1.0,0.704,0.009522582019015013,0.02887509437286173,0.036774717214144825
2025-11-25,60.28,分化,4,0.0,,0.4797,1.0,0.9314,0.006061992586102516,0.014237024114998054,0.0290239763912592
2025-11-26,57.84,震荡,4,0.0,,0.5051,1.0,0.8085,-0.0004920283896928668,0.0029712732939017883,0.025773074815519825
2025-11-27,55.75,震荡,4,0.0,,0.4863,1.0,0.7439,0.0024934431651024713,0.006901643567693405,0.028155406825619567
2025-11-28,58.23,震荡,4,0.0,,0.4015,1.0,0.9278,0.0110067869884507,0.012785404590438088,0.02884651240552194
2025-12-01,74.02,分化,4,0.5,,0.5942,1.0,0.8667,-0.004840155074452679,0.009891629507148503,0.013741220992807168
2025-12-02,68.06,分化,4,0.5,,0.4107,1.0,0.8116,-0.005112953160864575,0.009636643525562594,0.021286775431766047
2025-12-03,65.31,分化,4,0.5,,0.4662,1.0,0.6463,0.0034247701514389384,0.013413826547788554,0.021825168681704366
2025-12-04,60.43,分化,4,0.5,,0.429,1.0,0.4884,0.00835144516969999,0.0012357457267093697,0.03765023645096233
2025-12-05,72.72,分化,4,0.5,,0.5232,1.0,0.8857,0.008118093849742936,-0.0007823691152397672,0.04496790166456943
2025-12-08,75.66,分化,4,0.5,,0.5867,1.0,0.9398,-0.005091421450446942,-0.01507974947609192,0.03351785561089393
2025-12-09,67.58,分化,4,0.5,,0.4967,1.0,0.7067,-0.0013909503131558365,-0.02189295639237354,0.030322668982227574
2025-12-10,81.56,牛市共振,4,1.0,,0.457,1.0,0.8052,-0.008633273294054389,-0.0026029506815292702,0.03638960899073873
2025-12-11,70.08,分化,4,1.0,,0.5164,1.0,0.2869,0.006318987752869765,0.00013351830532015718,0.05222342906641231
2025-12-12,82.88,牛市共振,4,1.0,,0.6068,1.0,0.7083,-0.006306639452515306,-0.002788046147633061,0.03931114725111606
2025-12-15,78.86,分化,4,1.0,,0.4573,1.0,0.697,-0.01197372283965692,0.01308504396559318,0.04171100923195303
2025-12-16,58.22,震荡,4,0.5,,0.4558,1.0,0.3729,0.01830339132077219,0.027388128370651188,0.05644729819282901
2025-12-17,69.14,分化,4,0.5,,0.5466,1.0,0.7188,-0.005913349163459758,0.011830803242446564,0.03318819836785947
2025-12-18,65.46,分化,4,0.5,,0.4348,1.0,0.6837,0.003379354464773998,0.019711660047945223,0.03990144422568265
2025-12-19,72.82,分化,4,0.5,,0.4531,1.0,0.9596,0.009510443561734139,0.019496153181943532,0.03298910346774786
2025-12-22,73.7,分化,4,0.5,,0.5532,1.0,0.8947,0.001975573244433315,0.006017100051641133,0.024166261621314078
2025-12-23,80.76,牛市共振,4,1.0,,0.4947,1.0,0.7356,0.0028836327110881577,0.006611005813989657,0.022285419972553733
2025-12-24,85.18,牛市共振,4,1.0,,0.4704,1.0,0.9368,0.0018293035828247373,-0.0008888752507358877,0.014768479621729558
2025-12-25,85.76,牛市共振,4,1.0,,0.4578,1.0,0.9727,0.0031672992843112535,0.016200198525129217,0.013877825430615331
2025-12-26,87.71,牛市共振,4,1.0,,0.5594,1.0,0.949,-0.0038365856172325463,0.02865512621209132,0.01040354372976271
2025-12-29,82.29,牛市共振,4,1.0,,0.5455,1.0,0.7459,0.0025670930770997913,0.029593164126671345,0.01694610785800088
2025-12-30,81.24,牛市共振,4,1.0,,0.5076,1.0,0.7419,-0.0045884770946363895,0.018569461863179315,0.022055834157371557
2025-12-31,82.53,牛市共振,4,1.0,,0.5038,1.0,0.7975,0.018964869843331567,0.027858376983111555,0.016501425126613345
2026-01-05,90.18,牛市共振,4,1.0,,0.7225,1.0,0.8846,0.0154624909095884,0.015297518049775194,-0.023690509643196744
2026-01-06,93.03,牛市共振,4,1.0,,0.7349,1.0,0.9862,-0.0029281771254092703,-0.0061914622888233906,-0.027258348258450638
2026-01-07,89.97,牛市共振,4,1.0,,0.646,1.0,0.9528,-0.008167245026855396,-0.007271850586658135,-0.016325739179826937
2026-01-08,89.11,牛市共振,4,1.0,,0.6286,1.0,0.936,0.004489247588721934,0.0029077051982020485,-0.014191582094562394
