date,情绪分,标签,有效因子数,f_指数多头,f_科技共振,f_量能,f_宽度,f_涨跌停,fwd1,fwd5,fwd20
2022-11-01,82.08,牛市共振,4,0.5,,0.8001,1.0,0.9831,0.013705541825902223,0.0423575819547537,0.052438891118353315
2022-11-02,81.24,牛市共振,4,0.5,,0.8,1.0,0.9495,0.004823898513800495,0.02897472949307578,0.037263145769959705
2022-11-03,90.9,牛市共振,4,1.0,,0.8,1.0,0.8361,0.01717919341825902,0.019406276385773857,0.04146729975387986
2022-11-04,94.43,牛市共振,4,1.0,,0.8,1.0,0.9773,0.0067667905348047785,0.006562981785404043,0.030681317916255058
2022-11-07,94.32,牛市共振,4,1.0,,0.8001,1.0,0.9726,-0.0007167589645661332,-0.0013010125488325253,0.03178889097700921
2022-11-08,93.96,牛市共振,4,1.0,,0.8,1.0,0.9583,0.0006905535524921458,0.019441439881365596,0.02833099355359714
2022-11-09,92.08,牛市共振,4,1.0,,0.8001,1.0,0.8833,-0.004519975614928007,0.01692621043664233,0.028513654115889908
2022-11-10,90.43,牛市共振,4,1.0,,0.8,1.0,0.8171,0.004363957388170414,0.02658425426223343,0.02994440153224387
2022-11-11,92.18,牛市共振,4,1.0,,0.8,1.0,0.8873,-0.0010987961000423763,0.014868507294668376,0.0241643374414644
2022-11-14,91.51,牛市共振,4,1.0,,0.8,1.0,0.8605,0.02003782810512922,0.019631770769046097,0.023501571160236212
2022-11-15,94.02,牛市共振,4,1.0,,0.8,1.0,0.9609,-0.0017784125370604587,-0.012265218283504686,-0.00039537619947360714
2022-11-16,90.78,牛市共振,4,1.0,,0.8002,1.0,0.8308,0.004934387547649299,-0.01673762203543283,-0.001230552862742318
2022-11-17,95.0,牛市共振,4,1.0,,0.8,1.0,1.0,-0.007098203597883601,-0.017892003762496222,-0.002388879779808062
2022-11-18,89.05,牛市共振,4,1.0,,0.8001,1.0,0.7619,0.0035895251798563343,-0.019490359350945785,-0.006489987613376602
2022-11-21,91.58,牛市共振,4,1.0,,0.8,1.0,0.863,-0.011871863578680308,-0.02727494088940241,-0.03218894806920081
2022-11-22,85.07,牛市共振,4,1.0,,0.8001,1.0,0.6027,-0.006298299915397654,0.0027150374093969365,-0.02480083514437137
2022-11-23,85.66,牛市共振,4,1.0,,0.8,1.0,0.6265,0.0037545621827410613,0.008150512228007223,-0.026004960641742736
2022-11-24,77.95,分化,4,0.5,,0.8,1.0,0.8182,-0.008714125819412,0.013315041787893334,-0.0435876197803019
2022-11-25,72.08,分化,4,0.5,,0.8,1.0,0.5833,-0.004378294988369613,0.029015237138717787,-0.037800682075712966
2022-11-28,79.68,分化,4,0.5,,0.8,1.0,0.8871,0.018593005286529962,0.04165229400949011,-0.017162633442146746
2022-11-29,82.09,牛市共振,4,0.5,,0.8,1.0,0.9835,-0.0009116842105262313,0.01848061387263611,-0.02973335340088623
2022-11-30,79.38,分化,4,0.5,,0.8001,1.0,0.875,0.008896572273880077,0.020295152044804032,-0.03971623002057523
2022-12-01,80.61,牛市共振,4,0.5,,0.8,1.0,0.9242,0.006644751954363093,0.008127463530040346,-0.05154590174203033
2022-12-02,90.0,牛市共振,4,1.0,,0.8,1.0,0.8,0.007848664976763953,0.000198501140499463,-0.05145276130605503
2022-12-05,93.72,牛市共振,4,1.0,,0.8,1.0,0.9487,-0.004065718208703051,-0.00932255453486619,-0.036984609545964386
2022-12-06,88.56,牛市共振,4,1.0,,0.8,1.0,0.7424,0.0008683043937471879,-0.009036600678741902,-0.028946972705633733
2022-12-07,92.54,牛市共振,4,1.0,,0.8,1.0,0.9016,-0.003135180705087559,-0.012482892266252321,-0.023588514424475404
2022-12-08,88.75,牛市共振,4,1.0,,0.8001,1.0,0.75,-0.0012725488499681914,-0.005643541174299993,-0.02201865503979783
2022-12-09,86.45,牛市共振,4,1.0,,0.8001,1.0,0.6579,-0.0017452138789283422,-0.015507583702846994,-0.014717032212000714
2022-12-12,85.82,牛市共振,4,1.0,,0.8001,1.0,0.6329,-0.003778246994304957,-0.03584818582016425,-0.013924353356797758
