date,fwd_ret,direction,技术,技术_avail,广度,广度_avail,消息面,消息面_avail,资金流,资金流_avail
2025-12-18,0.003379354464773998,1,0.43538843515860803,1,-0.23770908660218734,1,0.0,0,-0.2550037563491603,1
2025-12-19,0.009510443561734139,1,0.2078509537166489,1,-0.009757447129746672,1,0.0,0,-0.6798165204536967,1
2025-12-22,0.001975573244433315,1,-0.20188825333284485,1,-0.30133190889184974,1,0.0,0,-0.15327098255229332,1
2025-12-23,0.0028836327110881577,1,-0.09970899100663261,1,-0.4092463824301565,1,0.0,0,0.22366296204260597,1
2025-12-24,0.0018293035828247373,1,-0.008080054865470572,1,0.1530198555504926,1,0.0,0,0.3448016846787507,1
2025-12-25,0.0031672992843112535,1,-0.07300332219391792,1,0.09930469511675644,1,0.0,0,0.4208369790214472,1
2025-12-26,-0.0038365856172325463,-1,-0.24944268589041893,1,-0.3329856630616112,1,0.0,0,0.49248666613484243,1
2025-12-29,0.0025670930770997913,1,-0.055096628870231236,1,-0.27669659200756663,1,0.0,0,0.40303419405999946,1
2025-12-30,-0.0045884770946363895,-1,-0.1462800656196757,1,-0.21336999949741303,1,0.0,0,0.3167684658911696,1
2025-12-31,0.018964869843331567,1,0.23019723325610214,1,-0.006146577757417628,1,0.0,0,0.2626719823304747,1
2026-01-05,0.0154624909095884,1,-0.7564151575672068,1,0.24400546980962787,1,0.0,0,-0.2761548176203796,1
2026-01-06,-0.0029281771254092703,-1,-1.1585407313590381,1,0.32302128071208014,1,0.0,0,0.17417400299637487,1
2026-01-07,-0.008167245026855396,-1,-0.6217643846169589,1,-0.013286961332087257,1,0.0,0,0.4916521576312081,1
2026-01-08,0.004489247588721934,1,-0.19334896922177486,1,0.4318966159284872,1,0.0,0,0.7067087221065461,1
2026-01-09,0.006512693284052684,1,-0.46990003187283164,1,0.6199534077702029,1,0.0,0,0.7901739458469442,1
2026-01-12,-0.006029981113445548,-1,-0.5943053479128322,1,0.4341949564038548,1,0.0,0,1.0113921799800976,1
2026-01-13,-0.004012113003053819,-1,-0.09589370768187541,1,0.4164372195548643,1,0.0,0,1.2359791138673135,1
2026-01-14,0.0020031292739712825,1,-0.17317390849612252,1,0.19015365854769847,1,0.0,0,1.217196013219973,1
2026-01-15,-0.0041159193929286575,-1,-0.0661543559131388,1,0.496045577972399,1,0.0,0,1.1874156435246077,1
2026-01-16,0.0005458303951026977,1,-0.08060722323405728,1,0.3565307704042108,1,0.0,0,1.1834792245089913,1
2026-01-19,-0.003290219893497426,-1,0.13060099205164535,1,0.532477769623042,1,0.0,0,1.3925665462038976,1
2026-01-20,0.0008881348113625176,1,0.4913594872783942,1,0.3975836471318898,1,0.0,0,0.4712010368467569,1
2026-01-21,0.00013548393489548616,1,0.4628739806196486,1,0.3278139710287065,1,0.0,0,0.12310375022440005,1
2026-01-22,-0.004490644862106263,-1,0.40967464617016336,1,0.5221867504849372,1,0.0,0,0.16915477428221035,1
2026-01-23,0.0009500060031939483,1,0.5725758214417791,1,0.42649343659438943,1,0.0,0,0.024535504436411393,1
2026-01-26,-0.0002702803760555872,-1,0.43753170142410547,1,-0.011373493177400709,1,0.0,0,0.1520643682349972,1
2026-01-27,0.0026137708381157587,1,0.7375632156741733,1,0.028930661945892666,1,0.0,0,-0.15595472040834016,1
2026-01-28,0.00760457087734423,1,0.46141888745637444,1,-0.3562272050395426,1,0.0,0,0.6653175800002983,1
2026-01-29,-0.009998086401063921,-1,0.16071807427887036,1,-0.44107202839874865,1,0.0,0,0.4404905829483084,1
2026-01-30,-0.021324468242318484,-1,0.8216090136438152,1,0.048197923494619654,1,0.0,0,0.036012550620358054,1
2026-02-02,0.011751571039204878,1,1.6581149925681533,1,-0.6901061145304274,1,0.0,0,0.3675648791910189,1
2026-02-03,0.008277877887535423,1,0.5374886613591343,1,-0.17216124336376262,1,0.0,0,0.2587855982214794,1
2026-02-04,-0.006015387460044153,-1,0.3318623624346273,1,-0.12294632635047074,1,0.0,0,0.12001547919286337,1
2026-02-05,-0.005743146631732476,-1,0.6990400600792777,1,-0.42154436911515986,1,0.0,0,-0.42661167863984106,1
2026-02-06,0.01625033737324122,1,0.7782344130999361,1,-0.2559851413932503,1,0.0,0,-0.5423040161016417,1
2026-02-09,0.001110328021331597,1,-0.12106373823639442,1,0.08348480058141046,1,0.0,0,-0.5205692171764322,1
2026-02-10,-0.0022177062756191246,-1,0.20482337436838244,1,-0.13859094309655592,1,0.0,0,-0.5895523498720395,1
2026-02-11,0.0012218332122886366,1,0.35450185656495614,1,-0.05192100615419015,1,0.0,0,-0.572628315280379,1
2026-02-12,-0.012537646374315758,-1,0.1739956378936236,1,-0.22118449829447753,1,0.0,0,-0.6812554596353761,1
2026-02-13,0.010114656114909693,1,0.6014432290829451,1,0.16937970572478941,1,0.0,0,-0.5344495155892343,1
2026-02-24,0.006020506659098812,1,-0.045217752513563275,1,-0.04965286429463801,1,0.0,0,-1.1728987061466372,1
2026-02-25,-0.0019028963916318808,-1,-0.1803308884904316,1,-0.019202344107856324,1,0.0,0,-0.8346143417390176,1
2026-02-26,-0.0034329242419604,-1,0.04882558050034315,1,-0.14172354618996155,1,0.0,0,-0.9226883781936323,1
2026-02-27,0.003825780276590196,1,0.148059252049045,1,-0.06229592161940921,1,0.0,0,-0.4872169433871705,1
2026-03-02,-0.015389658924727434,-1,-0.3023413713621367,1,-0.7343861496764973,1,0.0,0,-0.32764392981280593,1
2026-03-03,-0.01144172844746838,-1,0.5597926806293587,1,0.038175097316807856,1,0.0,0,-0.28630691124847507,1
2026-03-04,0.00979167386817359,1,1.2342700606476362,1,-0.2934505311760646,1,0.0,0,-0.7402072024790874,1
2026-03-05,0.0027426300464266085,1,0.9353208548423755,1,-0.06924047085208161,1,0.0,0,-0.5244342338668485,1
2026-03-06,-0.009652288121355102,-1,0.9919765533329971,1,-0.10355450573894119,1,0.0,0,-0.8066472270229049,1
2026-03-09,0.012848375450559502,1,1.1505480524251923,1,-0.42282172373974986,1,0.0,0,-0.6016533678764545,1
