代码,名称,板块,收盘,涨跌%,BIAS20,量比,量状态,超买超卖,共振数,趋势评级,趋势分,拐点标签,拐点分,均线排列,MACD,KDJ_K,KDJ_J,RSI12,PE,PB,市值亿,PE有效,PE模式,营收增速,净利增速,ROE,毛利率,负债率,财报评级,财报红旗,审计闸门,主力净流入亿,主力净占比%,近5日主力亿,连续净流入天,买卖倾向,买卖分,ATR%,1日涨概率%,5日涨概率%,5日止盈%,5日止损%,近支撑,近压力,公告数
300209,行云科技,AI算力,38.93,10.13,23.93,1.08,平量,中性,1,偏多,60,无,0,多头排列,多头,76.15,76.75,63.74,-488.06,37.94,356.5,False,亏损/PE失效,497.108636,540.154289,1.3,34.763493,73.579075,风险,应收存货激增/高负债/扣非占比低/毛利率异常跳升/非标审计意见,不通过,-4.6,-7.69,-22.86,0.0,偏买入,2,10.27,49.3,52.9,36.73,27.55,24.2,,2
300832,新产业,,51.24,3.22,6.88,2.21,放量,中性,0,偏多,60,超跌待反弹,30,多头排列,多头,61.72,73.85,68.79,24.01,4.11,390.03,True,PE适用,10.775428,12.532737,9.26,70.883997,8.140226,良,,通过,-0.27,-2.63,0.0,0.0,偏买入,3,3.69,46.1,45.9,13.21,9.9,49.09,53.21,8
600572,康恩贝,,4.8,2.56,9.64,1.87,放量,中性,1,偏多,60,超跌待反弹,30,多头排列,多头,70.74,81.72,72.93,24.94,1.66,120.58,True,PE适用,13.099003,4.780481,2.77,56.742421,27.922677,良,,通过,1.01,7.95,3.33,2.0,偏买入,4,3.35,47.7,51.7,11.98,8.98,4.39,4.98,1
001258,立新能源,,13.75,-9.95,6.3,0.79,平量,中性,0,偏多,60,无,0,多头排列,多头,61.04,51.67,57.46,121.87,4.03,122.83,True,PE适用,22.197407,167.708603,0.21,23.516492,76.215935,,,,-0.39,-1.48,3.28,0.0,观望,0,11.42,49.1,51.1,40.85,30.64,8.31,15.73,2
300009,安科生物,,8.95,1.94,7.16,1.5,放量,中性,0,偏多,60,超跌待反弹,30,多头排列,多头,72.14,78.35,67.94,20.59,3.01,142.84,True,PE适用,-13.843021,-19.81546,3.85,75.590438,13.417881,中,,通过,-0.05,-1.54,-0.03,0.0,观望,1,2.94,45.7,47.9,10.51,7.88,8.31,8.97,3
002153,石基信息,,8.79,4.89,7.12,1.65,放量,中性,0,偏多,60,超跌待反弹,30,多头排列,多头,42.64,18.41,60.05,-137.15,3.35,224.34,False,亏损/PE失效,2.417255,11.985387,0.35,49.3678,16.589882,差,现金含量不足/应收存货激增,通过,1.37,14.86,2.03,1.0,偏买入,3,6.2,47.3,47.3,22.18,16.64,8.36,8.96,1
300515,三德科技,,16.49,4.1,5.08,1.54,放量,中性,0,偏多,60,超跌待反弹,30,多头排列,多头,78.62,90.62,64.01,17.27,3.38,32.59,True,PE适用,18.173408,18.028818,3.5,58.682949,33.395954,,,,0.05,4.28,-0.04,2.0,偏买入,2,3.31,49.1,45.5,11.84,8.88,16.48,16.95,1
002033,丽江股份,,8.96,1.59,4.11,1.12,平量,中性,0,偏多,60,无,0,多头排列,多头,69.8,67.17,65.05,19.37,1.81,47.59,True,PE适用,23.556587,93.33573,2.57,60.956404,7.321214,,,,0.11,4.63,-0.01,2.0,偏买入,5,1.98,52.7,52.7,7.07,5.3,8.72,9.19,0
300453,三鑫医疗,,10.08,0.6,5.26,1.49,平量,中性,0,偏多,60,无,0,多头排列,多头,65.77,86.29,63.01,17.7,3.24,49.49,True,PE适用,13.392977,27.232684,5.03,37.108286,33.757078,,,,0.01,0.18,-0.55,2.0,偏买入,3,3.03,51.7,54.9,10.85,8.14,9.15,10.18,2
000603,盛达资源,,32.09,-0.37,16.2,0.51,缩量,中性,1,偏多,60,无,0,多头排列,多头,62.35,37.37,61.21,27.87,6.32,237.56,True,PE适用,27.084423,456.461858,12.14,69.146436,48.364913,,,,,,,,观望,1,7.69,50.3,52.3,27.51,20.64,22.1,41.13,6
601700,风范股份,,6.56,-7.61,14.7,1.06,平量,中性,1,偏多,60,无,0,多头排列,多头,75.58,56.42,58.24,-24.86,3.65,78.57,False,亏损/PE失效,49.058008,166.86416,1.34,13.863163,70.065405,,,,,,,,观望,-1,7.67,51.3,52.9,27.42,20.57,5.4,7.11,2
300534,陇神戎发,,18.9,-0.11,31.68,1.02,平量,超买,3,偏多,60,无,0,多头排列,多头,86.03,100.42,75.93,96.46,6.57,48.17,True,PE适用,-15.687378,28.177005,3.42,61.813764,42.696259,,,,3.09,17.83,1.99,1.0,偏买入,2,10.82,50.1,49.9,38.71,29.03,9.81,,0
