date,指数多头,量能,宽度,涨跌停,fwd1,fwd5
2024-01-15,0.0,0.8,0.316,0.8605,-0.0037858088000000123,-0.10240446361056554
2024-01-16,0.0,0.8,0.2851,0.8684,-0.02502176700000014,-0.09649197765619244
2024-01-17,0.0,0.8,0.1551,0.2692,-0.0067193897220556575,-0.05922967879836172
2024-01-18,0.0,0.8,0.1319,0.807,-0.012810296681327493,-0.01839472811055809
2024-01-19,0.0,0.8,0.1112,0.4505,-0.05754534106357456,-0.009370907957237051
2024-01-22,0.0,0.8,0.0467,0.1183,0.002776280887645033,0.019603300700484105
2024-01-23,0.0,0.8,0.0557,0.6081,0.015188092126299013,-0.0155927241847994
2024-01-24,0.0,0.8001,0.0925,0.9769,0.036394815547561965,-0.07600033353590363
2024-01-25,0.0,0.8,0.1896,0.9884,-0.003735139288569167,-0.12118951216009799
2024-01-26,0.0,0.8,0.2124,0.7294,-0.029980152278177297,-0.15534393704634275
2024-01-29,0.0,0.8,0.1497,0.1448,-0.03183888651348654,-0.2009778775093991
2024-01-30,0.0,0.8,0.0953,0.0888,-0.04710836503496496,-0.15277192374237047
2024-01-31,0.0,0.8,0.0633,0.0783,-0.014291166433566427,-0.12287826815710678
2024-02-01,0.0,0.8,0.055,0.25,-0.04245435557331201,-0.04799108006864028
2024-02-02,0.0,0.8,0.0466,0.2269,-0.08238707850579308,0.02685026074633501
2024-02-05,0.0,0.8,0.0428,0.0107,0.026571423491809743,0.13286032326714192
2024-02-06,0.0,0.8,0.0945,0.5438,-0.013486468943479046,0.12163544494568002
2024-02-07,0.0,0.8,0.1606,0.3629,0.06986700698742254,0.16294425798300072
2024-02-08,0.0,0.8001,0.2238,0.9942,0.032822249950089866,0.11643085638798967
2024-02-19,0.0,0.8,0.2647,1.0,0.012345529446995407,0.0967512094366747
2024-02-20,0.0,0.8,0.292,0.9931,0.016399702335795574,0.11298250408594734
2024-02-21,0.5,0.8,0.362,1.0,0.02284592693152332,0.02888594331431027
2024-02-22,0.5,0.8,0.4869,1.0,0.02707634577760043,0.043935944803642046
2024-02-23,0.5,0.8,0.6971,1.0,0.0146163958874026,0.028499692803191534
2024-02-26,0.5,0.8,0.8551,0.9825,0.02732766799760422,0.015924796597621027
2024-02-27,0.5,0.8,0.9506,0.9892,-0.06039909640718566,-0.026061990225961673
2024-02-28,0.5,0.8,0.5727,0.0477,0.037807578243512996,0.046876712587989866
2024-02-29,1.0,0.8,0.8395,0.9935,0.01188938974256648,0.0004744520621100534
2024-03-01,1.0,0.8,0.9021,0.9022,0.0022112430652561077,-0.0008097700505032002
2024-03-04,1.0,0.8,0.9031,0.8972,-0.01513038395529831,0.016409331899859714
2024-03-05,1.0,0.8,0.8426,0.7108,0.00996808341648392,0.044644664527587974
2024-03-06,1.0,0.8,0.9071,0.9897,-0.00819269766513675,0.03667810157773688
2024-03-07,1.0,0.8,0.8779,0.6495,0.010590515266413858,0.039490857658097456
2024-03-08,1.0,0.8,0.8845,0.962,0.01948240630612652,0.043043963082847414
2024-03-11,1.0,0.8,0.9463,1.0,0.012228791458790633,0.04362242285813478
2024-03-12,1.0,0.8,0.9437,0.9462,0.002265967484540221,0.028236754994398483
2024-03-13,1.0,0.8001,0.9059,0.9538,-0.005501686814282869,0.037997075433354066
2024-03-14,1.0,0.8,0.8658,0.9057,0.014044835826850122,0.044868037806687244
2024-03-15,1.0,0.8,0.896,1.0,0.02004779912228205,0.015835454522524328
2024-03-18,1.0,0.8,0.9293,0.9615,-0.0026940538599642405,-0.02829381307152068
2024-03-19,1.0,0.8,0.8886,0.8025,0.011779765702891298,-0.025511113168087296
2024-03-20,1.0,0.8001,0.8918,0.957,0.0010813379860421524,-0.06766340435558404
2024-03-21,1.0,0.8,0.8599,0.8667,-0.014131297507477436,-0.046714015099267314
2024-03-22,1.0,0.8,0.7227,0.6465,-0.02426445842472591,-0.020848731529678588
2024-03-25,1.0,0.8,0.5099,0.2296,0.00016195672981056397,0.0260422084377796
2024-03-26,1.0,0.8,0.5112,0.814,-0.03198557208374875,0.024687799377032915
2024-03-27,0.5,0.8,0.2525,0.135,0.023575405820211337,0.05029545072635799
2024-03-28,0.5,0.8001,0.3814,0.956,0.012618045246163057,0.00178284464744638
2024-03-29,0.5,0.8,0.4949,0.9216,0.0224629045246163,0.003555478305935056
2024-04-01,0.5,0.8,0.6705,0.9085,-0.0011582895575926733,-0.03901039923558902
2024-04-02,0.5,0.8,0.6328,0.8701,-0.007794227182144398,-0.03547448276045295
2024-04-03,1.0,0.8,0.5492,0.7294,-0.02370301514245865,-0.03482887525743428
2024-04-08,0.5,0.8,0.364,0.2831,0.014409851564056497,-0.04375466159361174
2024-04-09,0.5,0.8,0.4474,0.8556,-0.020904932855150382,-0.11750250261753692
2024-04-10,0.5,0.8,0.3135,0.4342,0.002516901992031917,-0.044866958374760624
2024-04-11,0.0,0.8,0.3301,0.7105,-0.007130091832669216,-0.048573967332910084
2024-04-12,0.0,0.8,0.295,0.6701,-0.0327316920932087,-0.04724656362697566
2024-04-15,0.0,0.8,0.2144,0.1023,-0.06382377056363275,-0.020932744179136042
2024-04-16,0.0,0.8,0.1313,0.0212,0.059681248157737565,0.052854569365024195
2024-04-17,0.0,0.8,0.2045,0.9603,-0.0013740105556663273,0.012628632578513876
2024-04-18,0.0,0.8,0.2255,0.7579,-0.005744866759609613,0.01860419623716436
2024-04-19,0.0,0.8,0.2345,0.6538,-0.006016990639314934,0.039472364487067146
2024-04-22,0.0,0.8,0.2363,0.4884,0.006731064728142,0.07521318334886784
2024-04-23,0.0,0.8,0.2189,0.6667,0.01919448755228048,0.06176914772956943
2024-04-24,0.0,0.8,0.2889,0.952,0.004518922923720359,0.06477552366922956
2024-04-25,0.5,0.8,0.3268,0.8026,0.014624461661023602,0.06733399476375346
2024-04-26,0.5,0.8,0.4457,0.9237,0.02815973969328822,0.03838447341629436
2024-04-29,0.5,0.8,0.6996,0.9449,-0.005856697868950378,0.02426167433986537
2024-04-30,0.5,0.8,0.6466,0.6207,0.022080314280023883,0.019663106304649958
2024-05-06,0.5,0.8,0.7937,0.7865,0.006932607847042416,-0.01811030795002544
2024-05-07,1.0,0.8,0.8338,0.7083,-0.012895408086038618,-0.016622483042857628
2024-05-08,1.0,0.8,0.7535,0.5859,0.014176004579848689,-0.010711986635899673
2024-05-09,1.0,0.8,0.8484,0.7188,-0.01032004520111518,-0.0195630640128297
2024-05-10,1.0,0.8,0.786,0.5,-0.01578264543101726,0.004059215869520738
2024-05-13,1.0,0.8,0.6392,0.3981,0.008458379454509224,0.023954324774739577
2024-05-14,1.0,0.8,0.7112,0.7619,-0.006962510451921311,0.005479259977345219
2024-05-15,0.5,0.8,0.6485,0.6875,0.0051022564204659115,0.0177229705339359
2024-05-16,0.5,0.8,0.6762,0.8116,0.013524932510452059,-0.00855724298042515
2024-05-17,0.5,0.8,0.7351,0.9256,0.003719303404340124,-0.03131654472408152
2024-05-20,0.5,0.8,0.7487,0.7053,-0.009737094166832438,-0.02881814255801307
2024-05-21,1.0,0.8,0.6152,0.5079,0.005129696794744287,-0.02897980741958539
2024-05-22,1.0,0.8,0.6234,0.7273,-0.020852057933505974,-0.03117257917461691
2024-05-23,1.0,0.8,0.3495,0.4658,-0.00974128190324508,-0.016395702904246967
2024-05-24,1.0,0.8,0.2645,0.5357,0.006308069082221701,0.0004616532408738827
2024-05-27,0.5,0.8,0.297,0.593,-0.009901935297630948,-0.02400499944573742
2024-05-28,0.0,0.8,0.2257,0.5278,0.0028598984670515915,-0.021295382185396172
2024-05-29,0.0,0.8,0.2374,0.5278,-0.005917769659566141,-0.04040799625333236
2024-05-30,0.0,0.8,0.2035,0.4643,0.007230120047780453,-0.06900447899678552
2024-05-31,0.0,0.8,0.2468,0.7391,-0.018301559824805858,-0.05803865749236592
2024-06-03,0.0,0.8,0.1844,0.2404,-0.0071531642444754295,-0.034293942989997994
2024-06-04,0.0,0.8,0.1886,0.5104,-0.01672443152866243,-0.014079947403474846
2024-06-05,0.0,0.8,0.1428,0.2824,-0.03554208419585991,-0.000317381174940623
2024-06-06,0.0,0.8,0.102,0.1395,0.01909387820895514,0.03727488602296236
2024-06-07,0.0,0.8,0.1071,0.8562,0.006444837014925264,0.013150491173175904
2024-06-11,0.0,0.8,0.1332,0.7246,0.013628937524870599,0.01968409835202034
2024-06-12,0.0,0.8,0.1674,0.9432,-0.0029987799442896534,0.00023955657646346218
2024-06-13,0.0,0.8,0.1875,0.8594,0.0007255861520094609,-0.015501383639777822
2024-06-14,0.0,0.8,0.1983,0.8,-0.004607672304019261,-0.017733227845081356
2024-06-17,0.0,0.8,0.211,0.7174,0.012935200756068355,-0.04895893098191573
2024-06-18,0.5,0.8,0.2964,0.9595,-0.0057001372861121835,-0.06110392260795505
2024-06-19,0.5,0.8,0.2779,0.8065,-0.018688757907300513,-0.02862473378565411
2024-06-20,0.5,0.8,0.1999,0.3197,-0.0015430443604537158,-0.028097534319496464
2024-06-21,0.0,0.8,0.1981,0.7077,-0.03625062940123336,-0.02197639477010327
2024-06-24,0.0,0.8,0.1099,0.0976,-1.9176447174640288e-07,0.023328006022897307
2024-06-25,0.0,0.8,0.0972,0.5963,0.028695632133624915,0.023440620225748665
2024-06-26,0.0,0.8001,0.1836,0.9333,-0.018156165838138727,-0.013432872379764982
2024-06-27,0.0,0.8,0.1306,0.4881,0.004745338039371605,-0.021809946058897856
2024-06-28,0.0,0.8,0.1859,0.7458,0.008392554583416256,-0.015593112210328108
2024-07-01,0.0,0.8,0.261,0.8452,0.00010985523961015708,-0.049461130908724615
2024-07-02,0.0,0.8,0.3313,0.9344,-0.008367193041749377,-0.03247277194994991
2024-07-03,0.0,0.8,0.2868,0.7794,-0.026493133399602353,-0.031060696255373332
2024-07-04,0.0,0.8,0.1286,0.1887,0.01113094255615188,0.025979140590692174
2024-07-05,0.0,0.8,0.1721,0.9516,-0.026300678791492782,0.012049985418094433
2024-07-08,0.0,0.8,0.1067,0.2527,0.017984163983303603,0.024115723826137136
2024-07-09,0.0,0.8,0.1727,0.8435,-0.006919936009538996,0.007231783152244375
2024-07-10,0.0,0.8,0.1673,0.5,0.030815588235294067,0.00327628426222093
2024-07-11,0.0,0.8,0.3764,0.9905,-0.0025966267885532135,-0.02693188454390305
2024-07-12,0.0,0.8,0.3884,0.7667,-0.014692159976152586,-0.017863334617309157
2024-07-15,0.0,0.8,0.2734,0.6615,0.0012013104133545838,0.0018982212652316477
2024-07-16,0.5,0.8,0.2986,0.9057,-0.010819859697933087,-0.019428942399217775
2024-07-17,0.5,0.8,0.2616,0.4432,-0.0002217758346584331,-0.024043592665300983
2024-07-18,0.5,0.8,0.2795,0.8793,0.006698716613672495,-0.01899824899645608
2024-07-19,0.0,0.8,0.3304,0.9048,0.005133203059805247,-0.009336039262865636
2024-07-22,0.0,0.8,0.3589,0.8889,-0.02011101827935624,-0.013212163369042629
2024-07-23,0.0,0.8,0.2181,0.3226,-0.015475025034770495,0.01260212936948557
